اسم المرفق,النوع,نوع المنشأة,القطاع,الحالة التشغيلية,المحافظة,المديرية
مركز العزب لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,شعوب
مركز الاكليل,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,شعوب
عياده د. محمد الحكيمي لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده الثنايا,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده زايد لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده نسيم كشيح لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده الاتقان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده امين العلواني لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده غاده الصميد,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده تالين,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده عبدالسلام الشهاري,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده الجيلاني,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده برلينت دنت,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده نصير,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده النجم,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده الاخلاص,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده ديتاليا,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده روما لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده الجبري لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده خالد الزبدي,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده ركن المدينه,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده رنده الخوفاني,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده صلاح الخزان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده الماس,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده ابتسامات,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده الماس الازرق,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده فاملي سمايل,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده تالين دنت,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده الاخوه,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده كيور تيث,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده اليتيم,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده مون لايت,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده سمر ابراهيم الشهاري,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده جمال الغابري,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده حسام العريفي,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده ليبرتي,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده ايلاف,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده غاده الضبيعي,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده لميس الخطيب,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده ماريا الصرماني,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده ردفان دنت,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده يعقوب الشميري,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
مختبر هيمولاب,مختبر,عام,خاص,-,امانة العاصمه,شعوب
مختبر العلواني,مختبر,عام,خاص,-,امانة العاصمه,شعوب
مختبر برلين,مختبر,عام,خاص,-,امانة العاصمه,شعوب
مختبر الضبيبي,مختبر,اساسي,خاص,-,امانة العاصمه,شعوب
مختبر العز,مختبر,عام,خاص,-,امانة العاصمه,شعوب
مختبر الروسي,مختبر,عام,خاص,-,امانة العاصمه,شعوب
مختبر اسماء,مختبر,عام,خاص,-,امانة العاصمه,شعوب
مختبر النهضه,مختبر,عام,خاص,-,امانة العاصمه,شعوب
مختبر نشوان وديع,مختبر,عام,خاص,-,امانة العاصمه,شعوب
عياده د. عبير الشميري لامراض النساء والولاده,عيادة,نساء وولاده,خاص,-,امانة العاصمه,شعوب
عياده د. ليلى الخربي لامراض النساء والولاده,عيادة,نساء وولاده,خاص,-,امانة العاصمه,شعوب
عياده د . هويدا الهمداني لامراض النساء والولاده,عيادة,نساء وولاده,خاص,-,امانة العاصمه,شعوب
العياده الاستشاريه لطب العيون,عيادة,عيون,خاص,-,امانة العاصمه,شعوب
عياده نجود البيشي,عيادة,نساء وولاده,خاص,-,امانة العاصمه,شعوب
عياده فتحي مثنى لامراض الباطنيه,عيادة,باطنيه,خاص,-,امانة العاصمه,شعوب
عياده احمد علاو,عيادة,نساء وولاده انجابي,خاص,-,امانة العاصمه,شعوب
عياده عصام الخربي,عيادة,باطنيه,خاص,-,امانة العاصمه,شعوب
عياده د. لينا القاضي لامراض النساء والولاده,عيادة,نساء وولاده,خاص,-,امانة العاصمه,شعوب
عياده (مركز اليمن ),عيادة,اطفال,خاص,-,امانة العاصمه,شعوب
عياده وائله العبسي,عيادة,نساء وولاده,خاص,-,امانة العاصمه,شعوب
عياده ابو اسامه للاسعافات الاوليه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عياده الخالدي للاسعافات الاوليه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عياده السقاف  للاسعافات الاوليه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عياده العذري للاسعافات الاوليه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عياده الهلال الطبيه للاسعافات الاوليه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عياده اليمن السعيد للاسعافات الاوليه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عياده خصروف,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عياده زين الحديثه للاسعافات الاوليه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عياده اسعافات اوليه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عياده اسعافات اوليه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
مركز (مستشفى) القهالي الحديث,مستشفى تخصصي,جراحه عامه - نساء وولادة,خاص,-,امانة العاصمه,ازال
مركز د.جميل العبرات الطبي,مركز,تخصصي مسالك بوليه,خاص,-,امانة العاصمه,ازال
مركز الملاريا الحديث,مركز,تخصصي,خاص,-,امانة العاصمه,ازال
مركز حبيب الطبي,مركز,عام,خاص,-,امانة العاصمه,ازال
مركز النور الطبي,مركز,عام,خاص,-,امانة العاصمه,ازال
مركز جمال,مركز,عام,خاص,-,امانة العاصمه,ازال
مركز طبي,مركز,عام,خاص,-,امانة العاصمه,ازال
مركز الجوهره,مركز,عام,خاص,-,امانة العاصمه,ازال
مركز الطيب,مركز,عام,خاص,-,امانة العاصمه,ازال
مركز برج الحياه,مركز,عام,خاص,-,امانة العاصمه,ازال
مركز هاني النجدي,مركز,طبي,خاص,-,امانة العاصمه,ازال
اشعه فوكاس  الرقميه,اشعة,بانوراما,خاص,-,امانة العاصمه,ازال
مركز الرأفه لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,ازال
مركز صفاء المجهلي لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,ازال
عياده عصام الضبري,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
عيادة اسنان,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
عيادة العفيف لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
ع/اسنان,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
عيادة الشفاء لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
عيادة اسنان,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
عيادة الخطيب,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
عيادة اللؤلؤ,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
عيادة احمد نصار,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
عيادة العالميه لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
عيادة اليحيي لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
عيادة فؤاد مجلي,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
عيادة الأزدورد,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
عيادة الصبري لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
عيادة اسنان,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
ع/اسنان,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
عياده برفكت سمايل,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
عياده جولدن سمايل,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
عياده ذكرى غالب,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
عياده ياسين الشاطر,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
التجميلية لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,ازال
مختبر سلامة الأسره,مختبر,مختبر عام,خاص,-,امانة العاصمه,ازال
مختبر المنير,مختبر,مختبر اساسي,خاص,-,امانة العاصمه,ازال
مختبر الكحلاني,مختبر,مختبر عام,خاص,-,امانة العاصمه,ازال
